Day,Time,Irradiance (W/m^2),Robot Runs?
1,12:00 AM,0,1
1,12:15 AM,0,
1,12:30 AM,0,
1,12:45 AM,0,
1,1:00 AM,0,
1,1:15 AM,0,
1,1:30 AM,0,
1,1:45 AM,0,
1,2:00 AM,0,1
1,2:15 AM,0,
1,2:30 AM,0,
1,2:45 AM,0,
1,3:00 AM,0,
1,3:15 AM,0,
1,3:30 AM,0,
1,3:45 AM,0,
1,4:00 AM,0,1
1,4:15 AM,0,
1,4:30 AM,0,
1,4:45 AM,0,
1,5:00 AM,0,
1,5:15 AM,0,
1,5:30 AM,0,
1,5:45 AM,0,
1,6:00 AM,0,1
1,6:15 AM,0,
1,6:30 AM,0,
1,6:45 AM,9,
1,7:00 AM,24,1
1,7:15 AM,53,
1,7:30 AM,103,
1,7:45 AM,128,
1,8:00 AM,163,1
1,8:15 AM,170,
1,8:30 AM,193,
1,8:45 AM,252,
1,9:00 AM,302,1
1,9:15 AM,286,
1,9:30 AM,355,
1,9:45 AM,426,
1,10:00 AM,444,1
1,10:15 AM,523,
1,10:30 AM,528,
1,10:45 AM,534,
1,11:00 AM,541,1
1,11:15 AM,486,
1,11:30 AM,518,
1,11:45 AM,538,
1,12:00 PM,461,1
1,12:15 PM,464,
1,12:30 PM,499,
1,12:45 PM,431,
1,1:00 PM,454,1
1,1:15 PM,539,
1,1:30 PM,455,
1,1:45 PM,518,
1,2:00 PM,502,1
1,2:15 PM,453,
1,2:30 PM,433,
1,2:45 PM,351,
1,3:00 PM,384,1
1,3:15 PM,317,
1,3:30 PM,276,
1,3:45 PM,263,
1,4:00 PM,122,1
1,4:15 PM,116,
1,4:30 PM,77,
1,4:45 PM,70,
1,5:00 PM,43,1
1,5:15 PM,38,
1,5:30 PM,6,
1,5:45 PM,0,
1,6:00 PM,0,1
1,6:15 PM,0,
1,6:30 PM,0,
1,6:45 PM,0,
1,7:00 PM,0,
1,7:15 PM,0,
1,7:30 PM,0,
1,7:45 PM,0,
1,8:00 PM,0,1
1,8:15 PM,0,
1,8:30 PM,0,
1,8:45 PM,0,
1,9:00 PM,0,
1,9:15 PM,0,
1,9:30 PM,0,
1,9:45 PM,0,
1,10:00 PM,0,1
1,10:15 PM,0,
1,10:30 PM,0,
1,10:45 PM,0,
1,11:00 PM,0,
1,11:15 PM,0,
1,11:30 PM,0,
1,11:45 PM,0,
2,12:00 AM,0,1
2,12:15 AM,0,
2,12:30 AM,0,
2,12:45 AM,0,
2,1:00 AM,0,
2,1:15 AM,0,
2,1:30 AM,0,
2,1:45 AM,0,
2,2:00 AM,0,1
2,2:15 AM,0,
2,2:30 AM,0,
2,2:45 AM,0,
2,3:00 AM,0,
2,3:15 AM,0,
2,3:30 AM,0,
2,3:45 AM,0,
2,4:00 AM,0,1
2,4:15 AM,0,
2,4:30 AM,0,
2,4:45 AM,0,
2,5:00 AM,0,
2,5:15 AM,0,
2,5:30 AM,0,
2,5:45 AM,0,
2,6:00 AM,0,1
2,6:15 AM,0,
2,6:30 AM,0,
2,6:45 AM,9,
2,7:00 AM,24,1
2,7:15 AM,53,
2,7:30 AM,103,
2,7:45 AM,128,
